PID,Lot,Wafer,Site,X,Y,PF,SBin,HBin,Test Time
1,A12345,2,1,5,2,8,6,6,40345
2,A12345,2,2,1,4,0,1,1,39788
3,A12345,2,3,5,5,8,3,3,36875
4,A12345,2,4,1,5,0,1,1,39471
5,A12345,2,1,7,2,0,1,1,41029
6,A12345,2,2,1,3,0,1,1,43140
7,A12345,2,3,3,3,0,1,1,38354
8,A12345,2,4,2,2,0,1,1,40822
9,A12345,2,1,5,6,8,3,3,40157
10,A12345,2,2,2,6,0,1,1,39207
11,A12345,2,3,6,2,0,1,1,39457
12,A12345,2,4,8,5,8,3,3,38854
13,A12345,2,1,8,3,0,1,1,40379
14,A12345,2,2,6,7,0,1,1,38921
15,A12345,2,3,6,4,8,3,3,42610
16,A12345,2,4,4,0,0,1,1,38281
17,A12345,2,1,9,3,0,1,1,43317
18,A12345,2,2,6,3,0,1,1,42950
19,A12345,2,3,3,4,8,3,3,40773
20,A12345,2,4,9,6,8,3,3,37546
21,A12345,2,1,7,1,8,3,3,36426
22,A12345,2,2,7,7,8,3,3,36046
23,A12345,2,3,9,4,0,1,1,38942
24,A12345,2,4,7,0,0,1,1,42835
25,A12345,2,1,4,3,0,1,1,37372
26,A12345,2,2,0,3,8,6,6,39055
27,A12345,2,3,1,2,0,1,1,42160
28,A12345,2,4,7,6,0,1,1,41833
29,A12345,2,1,9,5,8,3,3,37243
30,A12345,2,2,4,7,8,3,3,38598
31,A12345,2,3,10,5,0,1,1,41841
32,A12345,2,4,4,6,0,1,1,40855
33,A12345,2,1,5,3,8,3,3,42863
34,A12345,2,2,10,6,8,3,3,42971
35,A12345,2,3,9,1,0,1,1,40435
36,A12345,2,4,5,4,8,3,3,37219
37,A12345,2,1,5,1,8,3,3,38132
38,A12345,2,2,4,4,0,1,1,39921
39,A12345,2,3,6,8,8,3,3,36467
40,A12345,2,4,8,1,8,3,3,39240
41,A12345,2,1,3,0,0,1,1,36438
42,A12345,2,2,11,4,0,1,1,42637
43,A12345,2,3,11,3,8,6,6,43553
44,A12345,2,4,8,6,0,1,1,38681
45,A12345,2,1,3,7,8,3,3,37078
46,A12345,2,2,6,5,8,3,3,43539
47,A12345,2,3,10,3,0,1,1,37971
48,A12345,2,4,7,8,0,1,1,40227
49,A12345,2,1,5,8,8,3,3,39481
50,A12345,2,2,7,3,0,1,1,39543
51,A12345,2,3,7,4,8,3,3,38450
52,A12345,2,4,0,4,8,3,3,38395
53,A12345,2,1,2,5,0,1,1,38532
54,A12345,2,2,8,2,0,1,1,36038
55,A12345,2,3,2,4,8,3,3,40085
56,A12345,2,4,2,3,0,1,1,43324
57,A12345,2,1,10,4,0,1,1,39146
58,A12345,2,2,10,2,0,1,1,39841
59,A12345,2,3,5,0,8,6,6,39017
60,A12345,2,4,4,5,8,3,3,43103
61,A12345,2,1,9,7,0,1,1,37248
62,A12345,2,2,6,0,0,1,1,42259
63,A12345,2,3,6,1,8,3,3,38109
64,A12345,2,4,2,1,8,3,3,39522
65,A12345,2,1,7,5,0,1,1,37403
66,A12345,2,2,8,4,0,1,1,42729
67,A12345,2,3,3,2,0,1,1,41555
68,A12345,2,4,3,5,8,6,6,39747
69,A12345,2,1,4,2,0,1,1,41114
70,A12345,2,2,3,6,8,3,3,38211
71,A12345,2,3,8,7,8,3,3,37540
72,A12345,2,4,1,6,0,1,1,41554
73,A12345,2,1,5,7,8,3,3,38122
74,A12345,2,2,9,2,0,1,1,41536
75,A12345,2,3,4,1,8,3,3,37817
76,A12345,2,4,6,6,8,3,3,37143
77,A12345,2,1,4,8,0,1,1,40993
78,A12345,2,2,2,7,0,1,1,36690
79,A12345,2,3,3,1,8,3,3,41569
80,A12345,2,4,8,0,8,3,3,37554
