{'wafer': 1, 'count': 56, 'site': '4', 'family': 'Main.subflow1', 'kind': 'spread_down', 'score': 1.3689103926029762, 'threshold': 1.0673390113859755, 'persistence': 2}
{'wafer': 1, 'count': 64, 'site': '4', 'family': 'Main.subflow1', 'kind': 'spread_down', 'score': 1.5161112064235727, 'threshold': 1.0673390113859755, 'persistence': 3}
{'wafer': 1, 'count': 72, 'site': '4', 'family': 'Main.subflow1', 'kind': 'spread_down', 'score': 1.5070320957959515, 'threshold': 1.0673390113859755, 'persistence': 4}
{'wafer': 1, 'count': 80, 'site': '4', 'family': 'Main.subflow1', 'kind': 'spread_down', 'score': 1.4997352842263885, 'threshold': 1.0673390113859755, 'persistence': 5}
{'wafer': 14, 'count': 64, 'site': '1', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.6719835065978919, 'threshold': 1.1858554821391094, 'persistence': 2}
{'wafer': 14, 'count': 64, 'site': '2', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.6515430214527556, 'threshold': 1.1858554821391094, 'persistence': 2}
{'wafer': 14, 'count': 64, 'site': '3', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.7256246951191065, 'threshold': 1.1858554821391094, 'persistence': 2}
{'wafer': 14, 'count': 64, 'site': '4', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.778864519954621, 'threshold': 1.1858554821391094, 'persistence': 2}
{'wafer': 14, 'count': 72, 'site': '1', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.5826945256443632, 'threshold': 1.1858554821391094, 'persistence': 3}
{'wafer': 14, 'count': 72, 'site': '2', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.6305749817664434, 'threshold': 1.1858554821391094, 'persistence': 3}
{'wafer': 14, 'count': 72, 'site': '3', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.7183448511633983, 'threshold': 1.1858554821391094, 'persistence': 3}
{'wafer': 14, 'count': 72, 'site': '4', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.7485172046861972, 'threshold': 1.1858554821391094, 'persistence': 3}
{'wafer': 14, 'count': 80, 'site': '1', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.5510452647270976, 'threshold': 1.1858554821391094, 'persistence': 4}
{'wafer': 14, 'count': 80, 'site': '2', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.5542218188717376, 'threshold': 1.1858554821391094, 'persistence': 4}
{'wafer': 14, 'count': 80, 'site': '3', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.7295587568197437, 'threshold': 1.1858554821391094, 'persistence': 4}
{'wafer': 14, 'count': 80, 'site': '4', 'family': 'Main.subflow2', 'kind': 'spread_down', 'score': 1.7071154589479272, 'threshold': 1.1858554821391094, 'persistence': 4}
{'wafer': 18, 'count': 64, 'site': '1', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.5549526387123618, 'threshold': 1.1435888357331119, 'persistence': 2}
{'wafer': 18, 'count': 64, 'site': '2', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.6723500868190664, 'threshold': 1.1435888357331119, 'persistence': 2}
{'wafer': 18, 'count': 64, 'site': '3', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.7616397097450553, 'threshold': 1.1435888357331119, 'persistence': 2}
{'wafer': 18, 'count': 64, 'site': '4', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.8225472997331904, 'threshold': 1.1435888357331119, 'persistence': 2}
{'wafer': 18, 'count': 72, 'site': '1', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.5303240386893988, 'threshold': 1.1435888357331119, 'persistence': 3}
{'wafer': 18, 'count': 72, 'site': '2', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.6866452162142516, 'threshold': 1.1435888357331119, 'persistence': 3}
{'wafer': 18, 'count': 72, 'site': '3', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.6586023688387788, 'threshold': 1.1435888357331119, 'persistence': 3}
{'wafer': 18, 'count': 72, 'site': '4', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.7569058794462373, 'threshold': 1.1435888357331119, 'persistence': 3}
{'wafer': 18, 'count': 80, 'site': '1', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.4931468623970403, 'threshold': 1.1435888357331119, 'persistence': 4}
{'wafer': 18, 'count': 80, 'site': '2', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.6227163448440527, 'threshold': 1.1435888357331119, 'persistence': 4}
{'wafer': 18, 'count': 80, 'site': '3', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.64236478821006, 'threshold': 1.1435888357331119, 'persistence': 4}
{'wafer': 18, 'count': 80, 'site': '4', 'family': 'Main.subflow3', 'kind': 'spread_down', 'score': 1.7266447826796352, 'threshold': 1.1435888357331119, 'persistence': 4}
{'wafer': 23, 'count': 64, 'site': '4', 'family': 'Main.subflow6', 'kind': 'spread_down', 'score': 1.2159703426669894, 'threshold': 1.174586658414804, 'persistence': 2}
{'wafer': 23, 'count': 72, 'site': '4', 'family': 'Main.subflow6', 'kind': 'spread_down', 'score': 1.1822595911703035, 'threshold': 1.174586658414804, 'persistence': 3}
