W01 {'Main.subflow1': {'early40': 4, 'late40': 0}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W02 {'Main.subflow1': {'early40': 2, 'late40': 3}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W03 {'Main.subflow1': {'early40': 13, 'late40': 12}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W04 {'Main.subflow1': {'early40': 0, 'late40': 2}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W05 {'Main.subflow1': {'early40': 4, 'late40': 4}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W06 {'Main.subflow1': {'early40': 2, 'late40': 4}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W07 {'Main.subflow1': {'early40': 6, 'late40': 4}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W08 {'Main.subflow1': {'early40': 1, 'late40': 2}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W09 {'Main.subflow1': {'early40': 9, 'late40': 15}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W10 {'Main.subflow1': {'early40': 1, 'late40': 3}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
W11 {'Main.subflow1': {'early40': 4, 'late40': 3}, 'Main.subflow2': {'early40': 0, 'late40': 0}, 'Main.subflow3': {'early40': 0, 'late40': 0}, 'Main.subflow4': {'early40': 0, 'late40': 0}, 'Main.subflow5': {'early40': 0, 'late40': 0}, 'Main.subflow6': {'early40': 0, 'late40': 0}}
